 Dimension       Time    Gflop/s       GB/s        Error
        56   0.823427   2.429197  38.867154 0.000000e+00
       112   0.145058  13.791855 220.669674 0.000000e+00
       168   0.412515   4.850662  77.610585 0.000000e+00
       224   0.253619   7.888270 126.212317 0.000000e+00
       280   0.058863  34.310081 548.961295 0.000000e+00
       336   0.057920  35.366069 565.857101 0.000000e+00
       392   0.047612  43.015257 688.244105 0.000000e+00
       448   0.119057  18.125560 290.008967 0.000000e+00
       504   0.185098  11.066459 177.063349 0.000000e+00
       560   0.061387  34.329558 549.272925 0.000000e+00
       616   0.057513  40.641886 650.270170 0.000000e+00
       672   0.058726  41.339847 661.437551 0.000000e+00
       728   0.058336  39.683728 634.939647 0.000000e+00
       784   0.070100  41.246078 659.937249 0.000000e+00
       840   0.058450  40.561368 648.981884 0.000000e+00
       896   0.098310  29.267487 468.279799 0.000000e+00
       952   0.079749  43.275686 692.410969 0.000000e+00
      1008   0.050075  40.906668 654.506684 0.000000e+00
      1064   0.057841  41.650103 666.401654 0.000000e+00
      1120   0.071438  39.333012 629.328197 0.000000e+00
      1176   0.073700  44.134897 706.158350 0.000000e+00
      1232   0.088085  42.458158 679.330524 0.000000e+00
      1288   0.094540  45.202403 723.238455 0.000000e+00
      1344   0.111393  43.588180 697.410874 0.000000e+00
      1400   0.136023  40.346266 645.540260 0.000000e+00
      1456   0.148141  41.671501 666.744013 0.000000e+00
      1512   0.165415  41.793667 668.698675 0.000000e+00
      1568   0.229986  33.524874 536.397977 0.000000e+00
      1624   0.204590  41.870048 669.920763 0.000000e+00
      1680   0.230635  41.117990 657.887835 0.000000e+00
      1736   0.255223  40.997686 655.962982 0.000000e+00
      1792   0.342318  33.621312 537.940991 0.000000e+00
      1848   0.320404  39.394715 630.315446 0.000000e+00
      1904   0.361835  38.152269 610.436308 0.000000e+00
      1960   0.369550  40.749733 651.995729 0.000000e+00
