 Dimension       Time    Gflop/s       GB/s        Error
        52   1.531014   1.306329  20.901265 0.000000e+00
       104   0.271930   7.354872 117.677955 0.000000e+00
       156   0.408626   4.905482  78.487718 0.000000e+00
       208   0.069707  28.917766 462.684263 0.000000e+00
       260   0.054103  37.034386 592.550182 0.000000e+00
       312   0.068890  29.097096 465.553530 0.000000e+00
       364   0.095305  21.253812 340.060999 0.000000e+00
       416   0.044644  45.152088 722.433414 0.000000e+00
       468   0.103111  19.882172 318.114747 0.000000e+00
       520   0.056289  39.967738 639.483803 0.000000e+00
       572   0.062088  36.171329 578.741256 0.000000e+00
       624   0.064025  37.949455 607.191273 0.000000e+00
       676   0.054388  45.439232 727.027705 0.000000e+00
       728   0.055377  41.803895 668.862320 0.000000e+00
       780   0.090833  31.346669 501.546707 0.000000e+00
       832   0.053755  42.855709 685.691337 0.000000e+00
       884   0.075134  36.777484 588.439737 0.000000e+00
       936   0.085873  38.197278 611.156453 0.000000e+00
       988   0.100902  38.232469 611.719499 0.000000e+00
      1040   0.050828  44.261501 708.184016 0.000000e+00
      1092   0.068403  38.073441 609.175052 0.000000e+00
      1144   0.137662  21.751755 348.028085 0.000000e+00
      1196   0.083587  40.933862 654.941787 0.000000e+00
      1248   0.091181  42.635541 682.168663 0.000000e+00
      1300   0.109972  39.955625 639.290001 0.000000e+00
      1352   0.126142  39.183303 626.932854 0.000000e+00
      1404   0.138111  40.077579 641.241261 0.000000e+00
      1456   0.138883  44.449407 711.190509 0.000000e+00
      1508   0.181990  37.686518 602.984295 0.000000e+00
      1560   0.200884  37.797172 604.754753 0.000000e+00
      1612   0.220695  37.960526 607.368414 0.000000e+00
      1664   0.263805  34.930685 558.890961 0.000000e+00
      1716   0.310560  32.541397 520.662346 0.000000e+00
      1768   0.336703  32.826904 525.230459 0.000000e+00
      1820   0.401268  30.047604 480.761666 0.000000e+00
      1872   0.399750  32.821572 525.145157 0.000000e+00
      1924   0.370501  38.446443 615.143088 0.000000e+00
      1976   0.407704  37.848235 605.571759 0.000000e+00
