 Dimension       Time    Gflop/s       GB/s        Error
        40   0.207859   9.622504 153.960071 0.000000e+00
        80   0.085608  23.372878 373.966050 0.000000e+00
       120   0.643129   3.111390  49.782235 0.000000e+00
       160   0.051359  39.078719 625.259497 0.000000e+00
       200   0.050859  39.639158 634.226525 0.000000e+00
       240   0.043094  46.835245 749.363921 0.000000e+00
       280   0.035174  57.417772 918.684350 0.000000e+00
       320   0.032746  62.041843 992.669495 0.000000e+00
       360   0.053670  38.249677 611.994835 0.000000e+00
       400   0.050928  40.213793 643.420686 0.000000e+00
       440   0.041273  49.533741 792.539856 0.000000e+00
       480   0.045984  48.099895 769.598319 0.000000e+00
       520   0.046356  48.531434 776.502941 0.000000e+00
       560   0.041200  51.150043 818.400687 0.000000e+00
       600   0.047743  45.242140 723.874235 0.000000e+00
       640   0.042907  48.877142 782.034279 0.000000e+00
       680   0.060997  41.238877 659.822025 0.000000e+00
       720   0.046524  48.136705 770.187282 0.000000e+00
       760   0.050144  52.525846 840.413529 0.000000e+00
       800   0.046249  44.282230 708.515680 0.000000e+00
       840   0.049335  48.055068 768.881087 0.000000e+00
       880   0.052847  51.580654 825.290470 0.000000e+00
       920   0.062831  49.573570 793.177115 0.000000e+00
       960   0.076882  46.030793 736.492682 0.000000e+00
      1000   0.084240  47.483494 759.735897 0.000000e+00
      1040   0.051857  43.383220 694.131527 0.000000e+00
      1080   0.057024  44.182128 706.914050 0.000000e+00
      1120   0.065432  42.943016 687.088253 0.000000e+00
      1160   0.064097  48.704335 779.269355 0.000000e+00
      1200   0.069552  49.689155 795.026484 0.000000e+00
      1240   0.081276  46.917327 750.677236 0.000000e+00
      1280   0.104156  40.269519 644.312309 0.000000e+00
      1320   0.098211  46.837136 749.394174 0.000000e+00
      1360   0.113527  44.314557 709.032911 0.000000e+00
      1400   0.127632  42.998554 687.976859 0.000000e+00
      1440   0.140452  42.519637 680.314186 0.000000e+00
      1480   0.148403  43.689065 699.025046 0.000000e+00
      1520   0.165208  42.513699 680.219190 0.000000e+00
      1560   0.159624  47.566982 761.071719 0.000000e+00
      1600   0.203057  40.343431 645.494901 0.000000e+00
      1640   0.245969  35.865897 573.854348 0.000000e+00
      1680   0.217853  43.530584 696.489347 0.000000e+00
      1720   0.240835  42.256803 676.108847 0.000000e+00
      1760   0.257180  42.396529 678.344461 0.000000e+00
      1800   0.277258  42.069089 673.105430 0.000000e+00
      1840   0.308273  40.415502 646.648030 0.000000e+00
      1880   0.325803  40.789545 652.632725 0.000000e+00
      1920   0.366373  38.637628 618.202050 0.000000e+00
      1960   0.374665  40.193453 643.095247 0.000000e+00
