 Dimension       Time    Gflop/s       GB/s        Error
        28   0.312213   6.405892 102.494275 0.000000e+00
        56   0.139503  14.338538 229.416613 0.000000e+00
        84   0.453046   4.416705  70.667278 0.000000e+00
       112   0.069616  28.737897 459.806360 0.000000e+00
       140   0.066079  30.313880 485.022087 0.000000e+00
       168   0.055584  35.998876 575.982010 0.000000e+00
       196   0.049953  40.094901 641.518415 0.000000e+00
       224   0.039496  50.653673 810.458769 0.000000e+00
       252   0.054342  37.105420 593.686716 0.000000e+00
       280   0.061503  32.837109 525.393744 0.000000e+00
       308   0.050070  40.848577 653.577236 0.000000e+00
       336   0.050567  40.508256 648.132093 0.000000e+00
       364   0.048103  42.109441 673.751051 0.000000e+00
       392   0.043719  46.845609 749.529737 0.000000e+00
       420   0.042777  48.494959 775.919340 0.000000e+00
       448   0.045970  46.943402 751.094430 0.000000e+00
       476   0.054738  39.405674 630.490776 0.000000e+00
       504   0.047240  43.361516 693.784262 0.000000e+00
       532   0.052701  39.998610 639.977762 0.000000e+00
       560   0.047582  44.290155 708.642477 0.000000e+00
       588   0.048743  41.707778 667.324443 0.000000e+00
       616   0.055817  41.877083 670.033330 0.000000e+00
       644   0.048541  44.019321 704.309143 0.000000e+00
       672   0.052796  45.983207 735.731307 0.000000e+00
       700   0.047162  43.636549 698.184779 0.000000e+00
       728   0.053723  43.090536 689.448579 0.000000e+00
       756   0.068133  38.050279 608.804470 0.000000e+00
       784   0.081799  35.347039 565.552621 0.000000e+00
       812   0.050156  42.697599 683.161583 0.000000e+00
       840   0.049836  47.572357 761.157717 0.000000e+00
       868   0.057026  45.871931 733.950890 0.000000e+00
       896   0.067040  42.919042 686.704664 0.000000e+00
       924   0.074275  42.484825 679.757193 0.000000e+00
       952   0.078844  43.772862 700.365789 0.000000e+00
       980   0.094559  39.814000 637.023992 0.000000e+00
      1008   0.042314  48.409385 774.550156 0.000000e+00
      1036   0.050101  44.387812 710.204986 0.000000e+00
      1064   0.051942  46.380495 742.087913 0.000000e+00
      1092   0.056081  46.439174 743.026781 0.000000e+00
      1120   0.060704  46.288128 740.610046 0.000000e+00
      1148   0.069343  43.636814 698.189022 0.000000e+00
      1176   0.070609  46.067013 737.072210 0.000000e+00
      1204   0.076212  45.802114 732.833831 0.000000e+00
      1232   0.085555  43.713615 699.417841 0.000000e+00
      1260   0.094936  42.141702 674.267236 0.000000e+00
      1288   0.107035  39.925779 638.812458 0.000000e+00
      1316   0.102056  44.664330 714.629279 0.000000e+00
      1344   0.138629  35.024668 560.394685 0.000000e+00
      1372   0.138106  37.400623 598.409972 0.000000e+00
      1400   0.139732  39.275100 628.401594 0.000000e+00
      1428   0.139686  41.692805 667.084881 0.000000e+00
      1456   0.143948  42.885363 686.165805 0.000000e+00
      1484   0.173702  37.629299 602.068786 0.000000e+00
      1512   0.178544  38.720381 619.526097 0.000000e+00
      1540   0.186913  39.079787 625.276588 0.000000e+00
      1568   0.180841  42.635515 682.168236 0.000000e+00
      1596   0.201692  40.312463 644.999415 0.000000e+00
      1624   0.224276  38.194942 611.119064 0.000000e+00
      1652   0.253487  35.571671 569.146729 0.000000e+00
      1680   0.235811  40.215614 643.449821 0.000000e+00
      1708   0.274645  36.284576 580.553220 0.000000e+00
      1736   0.251663  41.577702 665.243227 0.000000e+00
      1764   0.283403  38.736595 619.785527 0.000000e+00
      1792   0.358447  32.108402 513.734440 0.000000e+00
      1820   0.324120  37.199628 595.194049 0.000000e+00
      1848   0.340355  37.085424 593.366787 0.000000e+00
      1876   0.365388  36.138841 578.221452 0.000000e+00
      1904   0.359011  38.452409 615.238549 0.000000e+00
      1932   0.376219  38.336339 613.381425 0.000000e+00
      1960   0.388162  38.795873 620.733967 0.000000e+00
      1988   0.412507  38.093268 609.492291 0.000000e+00
