 Dimension       Time    Gflop/s       GB/s        Error
        16   1.881017   1.063256  17.012100 0.000000e+00
        64   0.102032  19.603211 313.651372 0.000000e+00
       112   0.064494  31.020259 496.324142 0.000000e+00
       160   0.073987  27.126818 434.029083 0.000000e+00
       208   0.400940   5.027572  80.441154 0.000000e+00
       256   0.067415  29.863989 477.823832 0.000000e+00
       304   0.059669  33.900544 542.408709 0.000000e+00
       352   0.057877  34.663911 554.622574 0.000000e+00
       400   0.084673  24.187253 386.996045 0.000000e+00
       448   0.066544  32.429406 518.870493 0.000000e+00
       496   0.097764  22.466594 359.465506 0.000000e+00
       544   0.066556  33.863943 541.823085 0.000000e+00
       592   0.057593  36.024039 576.384622 0.000000e+00
       640   0.060493  34.667451 554.679221 0.000000e+00
       688   0.074034  35.190391 563.046249 0.000000e+00
       736   0.074830  31.967691 511.483057 0.000000e+00
       784   0.081313  35.558218 568.931488 0.000000e+00
       832   0.088311  26.086373 417.381961 0.000000e+00
       880   0.076911  35.442016 567.072260 0.000000e+00
       928   0.094018  34.001023 544.016373 0.000000e+00
       976   0.107539  34.581599 553.305578 0.000000e+00
      1024   0.080057  26.824333 429.189323 0.000000e+00
      1072   0.075038  32.834704 525.355259 0.000000e+00
      1120   0.080402  34.947719 559.163500 0.000000e+00
      1168   0.091044  35.003271 560.052329 0.000000e+00
      1216   0.111240  32.327323 517.237165 0.000000e+00
      1264   0.110655  36.500581 584.009303 0.000000e+00
      1312   0.143684  31.435631 502.970098 0.000000e+00
      1360   0.153711  32.729702 523.675237 0.000000e+00
      1408   0.166099  33.610107 537.761714 0.000000e+00
      1456   0.180421  34.215751 547.452010 0.000000e+00
      1504   0.206200  32.997837 527.965395 0.000000e+00
      1552   0.236379  31.629746 506.075936 0.000000e+00
      1600   0.249908  32.780011 524.480170 0.000000e+00
      1648   0.291558  30.702748 491.243971 0.000000e+00
      1696   0.312480  31.223798 499.580770 0.000000e+00
      1744   0.330440  32.105297 513.684753 0.000000e+00
      1792   0.390938  29.439856 471.037695 0.000000e+00
      1840   0.399792  31.163710 498.619353 0.000000e+00
      1888   0.400145  33.637127 538.194034 0.000000e+00
      1936   0.454896  31.903212 510.451397 0.000000e+00
      1984   0.509412  30.660960 490.575353 0.000000e+00
