 Dimension       Time    Gflop/s       GB/s        Error
        60   0.206203   9.699946 155.199143 0.000000e+00
       120   0.897415   2.229764  35.676218 0.000000e+00
       180   0.475578   4.218465  67.495444 0.000000e+00
       240   0.288962   6.984662 111.754592 0.000000e+00
       300   0.253087   8.107874 129.725988 0.000000e+00
       360   0.080709  25.435537 406.968584 0.000000e+00
       420   0.048366  42.891134 686.258141 0.000000e+00
       480   0.043177  51.226918 819.630686 0.000000e+00
       540   0.082620  26.682321 426.917130 0.000000e+00
       600   0.106277  20.324171 325.186728 0.000000e+00
       660   0.059544  38.626231 618.019690 0.000000e+00
       720   0.060064  37.284843 596.557489 0.000000e+00
       780   0.062893  45.272248 724.355963 0.000000e+00
       840   0.057895  40.950555 655.208880 0.000000e+00
       900   0.067867  42.966580 687.465281 0.000000e+00
       960   0.094453  37.467619 599.481903 0.000000e+00
      1020   0.070594  30.065232 481.043719 0.000000e+00
      1080   0.069954  36.015233 576.243724 0.000000e+00
      1140   0.083902  35.316270 565.060315 0.000000e+00
      1200   0.114747  30.118487 481.895791 0.000000e+00
      1260   0.136278  29.357327 469.717239 0.000000e+00
      1320   0.134747  34.137703 546.203248 0.000000e+00
      1380   0.150191  34.996375 559.941994 0.000000e+00
      1440   0.187670  31.821594 509.145496 0.000000e+00
      1500   0.207264  32.567114 521.073817 0.000000e+00
      1560   0.220560  34.425276 550.804417 0.000000e+00
      1620   0.238957  35.584027 569.344439 0.000000e+00
      1680   0.292553  32.415553 518.648846 0.000000e+00
      1740   0.283004  37.229365 595.669838 0.000000e+00
      1800   0.360463  32.358393 517.734280 0.000000e+00
      1860   0.342726  37.551067 600.817073 0.000000e+00
      1920   0.397393  35.621649 569.946378 0.000000e+00
      1980   0.424810  36.545284 584.724551 0.000000e+00
